"Statistic Label","Quarter","Sex","UNIT","VALUE"
"Population","1971Q3","Female","Number",""
"Population","1971Q4","Both sexes","Number",""
"Population","1971Q4","Male","Number",""
"Population","1971Q4","Female","Number",""
"Population","1972Q1","Both sexes","Number",""
"Population","1972Q1","Male","Number",""
"Population","1972Q1","Female","Number",""
"Population","1972Q2","Both sexes","Number","3024000"
"Population","1972Q2","Male","Number","1519000"
"Population","1972Q2","Female","Number","1505000"
"Population","1972Q3","Both sexes","Number",""
"Population","1972Q3","Male","Number",""
"Population","1972Q3","Female","Number",""
"Population","1972Q4","Both sexes","Number",""
"Population","1972Q4","Male","Number",""
"Population","1972Q4","Female","Number",""
"Population","1973Q1","Both sexes","Number",""
"Population","1973Q1","Male","Number",""
"Population","1973Q1","Female","Number",""
"Population","1973Q2","Both sexes","Number","3073000"
"Population","1973Q2","Male","Number","1544000"
"Population","1973Q2","Female","Number","1529000"
"Population","1973Q3","Both sexes","Number",""
"Population","1973Q3","Male","Number",""
"Population","1973Q3","Female","Number",""
"Population","1973Q4","Both sexes","Number",""
"Population","1973Q4","Male","Number",""
"Population","1973Q4","Female","Number",""
"Population","1974Q1","Both sexes","Number",""
"Population","1974Q1","Male","Number",""
"Population","1974Q1","Female","Number",""
"Population","1974Q2","Both sexes","Number","3124000"
"Population","1974Q2","Male","Number","1570000"
"Population","1974Q2","Female","Number","1554000"
"Population","1974Q3","Both sexes","Number",""
"Population","1974Q3","Male","Number",""
"Population","1974Q3","Female","Number",""
"Population","1974Q4","Both sexes","Number",""
"Population","1974Q4","Male","Number",""
"Population","1974Q4","Female","Number",""
"Population","1975Q1","Both sexes","Number",""
"Population","1975Q1","Male","Number",""
"Population","1975Q1","Female","Number",""
"Population","1975Q2","Both sexes","Number","3177000"
"Population","1975Q2","Male","Number","1597000"
"Population","1975Q2","Female","Number","1580000"
"Population","1975Q3","Both sexes","Number",""
"Population","1975Q3","Male","Number",""
"Population","1975Q3","Female","Number",""
"Population","1975Q4","Both sexes","Number",""
"Population","1975Q4","Male","Number",""
"Population","1975Q4","Female","Number",""
"Population","1976Q1","Both sexes","Number",""
"Population","1976Q1","Male","Number",""
"Population","1976Q1","Female","Number",""
"Population","1976Q2","Both sexes","Number","3228000"
"Population","1976Q2","Male","Number","1623000"
"Population","1976Q2","Female","Number","1605000"
"Population","1976Q3","Both sexes","Number",""
"Population","1976Q3","Male","Number",""
"Population","1976Q3","Female","Number",""
"Population","1976Q4","Both sexes","Number",""
"Population","1976Q4","Male","Number",""
"Population","1976Q4","Female","Number",""
"Population","1977Q1","Both sexes","Number",""
"Population","1977Q1","Male","Number",""
"Population","1977Q1","Female","Number",""
"Population","1977Q2","Both sexes","Number","3272000"
"Population","1977Q2","Male","Number","1645000"
"Population","1977Q2","Female","Number","1627000"
"Population","1977Q3","Both sexes","Number",""
"Population","1977Q3","Male","Number",""
"Population","1977Q3","Female","Number",""
"Population","1977Q4","Both sexes","Number",""
"Population","1977Q4","Male","Number",""
"Population","1977Q4","Female","Number",""
"Population","1978Q1","Both sexes","Number",""
"Population","1978Q1","Male","Number",""
"Population","1978Q1","Female","Number",""
"Population","1978Q2","Both sexes","Number","3314000"
"Population","1978Q2","Male","Number","1666000"
"Population","1978Q2","Female","Number","1648000"
"Population","1978Q3","Both sexes","Number",""
"Population","1978Q3","Male","Number",""
"Population","1978Q3","Female","Number",""
"Population","1978Q4","Both sexes","Number",""
"Population","1978Q4","Male","Number",""
"Population","1978Q4","Female","Number",""
"Population","1979Q1","Both sexes","Number",""
"Population","1979Q1","Male","Number",""
"Population","1979Q1","Female","Number",""
"Population","1979Q2","Both sexes","Number","3368000"
"Population","1979Q2","Male","Number","1693000"
"Population","1979Q2","Female","Number","1675000"
"Population","1979Q3","Both sexes","Number",""
"Population","1979Q3","Male","Number",""
"Population","1979Q3","Female","Number",""
"Population","1979Q4","Both sexes","Number",""
"Population","1979Q4","Male","Number",""
"Population","1979Q4","Female","Number",""
"Population","1980Q1","Both sexes","Number",""
"Population","1980Q1","Male","Number",""
"Population","1980Q1","Female","Number",""
"Population","1980Q2","Both sexes","Number","3401000"
"Population","1980Q2","Male","Number","1709000"
"Population","1980Q2","Female","Number","1692000"
"Population","1980Q3","Both sexes","Number",""
"Population","1980Q3","Male","Number",""
"Population","1980Q3","Female","Number",""
"Population","1980Q4","Both sexes","Number",""
"Population","1980Q4","Male","Number",""
"Population","1980Q4","Female","Number",""
"Population","1981Q1","Both sexes","Number",""
"Population","1981Q1","Male","Number",""
"Population","1981Q1","Female","Number",""
"Population","1981Q2","Both sexes","Number","3443405"
"Population","1981Q2","Male","Number","1729354"
"Population","1981Q2","Female","Number","1714051"
"Population","1981Q3","Both sexes","Number",""
"Population","1981Q3","Male","Number",""
"Population","1981Q3","Female","Number",""
"Population","1981Q4","Both sexes","Number",""
"Population","1981Q4","Male","Number",""
"Population","1981Q4","Female","Number",""
"Population","1982Q1","Both sexes","Number",""
"Population","1982Q1","Male","Number",""
"Population","1982Q1","Female","Number",""
"Population","1982Q2","Both sexes","Number","3480000"
"Population","1982Q2","Male","Number","1746800"
"Population","1982Q2","Female","Number","1733200"
"Population","1982Q3","Both sexes","Number",""
"Population","1982Q3","Male","Number",""
"Population","1982Q3","Female","Number",""
"Population","1982Q4","Both sexes","Number",""
"Population","1982Q4","Male","Number",""
"Population","1982Q4","Female","Number",""
"Population","1983Q1","Both sexes","Number",""
"Population","1983Q1","Male","Number",""
"Population","1983Q1","Female","Number",""
"Population","1983Q2","Both sexes","Number","3504000"
"Population","1983Q2","Male","Number","1757000"
"Population","1983Q2","Female","Number","1747000"
"Population","1983Q3","Both sexes","Number",""
"Population","1983Q3","Male","Number",""
"Population","1983Q3","Female","Number",""
"Population","1983Q4","Both sexes","Number",""
"Population","1983Q4","Male","Number",""
"Population","1983Q4","Female","Number",""
"Population","1984Q1","Both sexes","Number",""
"Population","1984Q1","Male","Number",""
"Population","1984Q1","Female","Number",""
"Population","1984Q2","Both sexes","Number","3529000"
"Population","1984Q2","Male","Number","1768900"
"Population","1984Q2","Female","Number","1760100"
"Population","1984Q3","Both sexes","Number",""
"Population","1984Q3","Male","Number",""
"Population","1984Q3","Female","Number",""
"Population","1984Q4","Both sexes","Number",""
"Population","1984Q4","Male","Number",""
"Population","1984Q4","Female","Number",""
"Population","1985Q1","Both sexes","Number",""
"Population","1985Q1","Male","Number",""
"Population","1985Q1","Female","Number",""
"Population","1985Q2","Both sexes","Number","3540000"
"Population","1985Q2","Male","Number","1771000"
"Population","1985Q2","Female","Number","1769000"
"Population","1985Q3","Both sexes","Number",""
"Population","1985Q3","Male","Number",""
"Population","1985Q3","Female","Number",""
"Population","1985Q4","Both sexes","Number",""
"Population","1985Q4","Male","Number",""
"Population","1985Q4","Female","Number",""
"Population","1986Q1","Both sexes","Number",""
"Population","1986Q1","Male","Number",""
"Population","1986Q1","Female","Number",""
"Population","1986Q2","Both sexes","Number","3540643"
"Population","1986Q2","Male","Number","1769690"
"Population","1986Q2","Female","Number","1770953"
"Population","1986Q3","Both sexes","Number",""
"Population","1986Q3","Male","Number",""
"Population","1986Q3","Female","Number",""
"Population","1986Q4","Both sexes","Number",""
"Population","1986Q4","Male","Number",""
"Population","1986Q4","Female","Number",""
"Population","1987Q1","Both sexes","Number",""
"Population","1987Q1","Male","Number",""
"Population","1987Q1","Female","Number",""
"Population","1987Q2","Both sexes","Number","3546500"
"Population","1987Q2","Male","Number","1770300"
"Population","1987Q2","Female","Number","1776200"
"Population","1987Q3","Both sexes","Number",""
"Population","1987Q3","Male","Number",""
"Population","1987Q3","Female","Number",""
"Population","1987Q4","Both sexes","Number",""
"Population","1987Q4","Male","Number",""
"Population","1987Q4","Female","Number",""
"Population","1988Q1","Both sexes","Number",""
"Population","1988Q1","Male","Number",""
"Population","1988Q1","Female","Number",""
"Population","1988Q2","Both sexes","Number","3530700"
"Population","1988Q2","Male","Number","1758800"
"Population","1988Q2","Female","Number","1771900"
"Population","1988Q3","Both sexes","Number",""
"Population","1988Q3","Male","Number",""
"Population","1988Q3","Female","Number",""
"Population","1988Q4","Both sexes","Number",""
"Population","1988Q4","Male","Number",""
"Population","1988Q4","Female","Number",""
"Population","1989Q1","Both sexes","Number",""
"Population","1989Q1","Male","Number",""
"Population","1989Q1","Female","Number",""
"Population","1989Q2","Both sexes","Number","3509500"
"Population","1989Q2","Male","Number","1744100"
"Population","1989Q2","Female","Number","1765500"
"Population","1989Q3","Both sexes","Number",""
"Population","1989Q3","Male","Number",""
"Population","1989Q3","Female","Number",""
"Population","1989Q4","Both sexes","Number",""
"Population","1989Q4","Male","Number",""
"Population","1989Q4","Female","Number",""
"Population","1990Q1","Both sexes","Number",""
"Population","1990Q1","Male","Number",""
"Population","1990Q1","Female","Number",""
"Population","1990Q2","Both sexes","Number","3505800"
"Population","1990Q2","Male","Number","1744100"
"Population","1990Q2","Female","Number","1765500"
"Population","1990Q3","Both sexes","Number",""
"Population","1990Q3","Male","Number",""
"Population","1990Q3","Female","Number",""
"Population","1990Q4","Both sexes","Number",""
"Population","1990Q4","Male","Number",""
"Population","1990Q4","Female","Number",""
"Population","1991Q1","Both sexes","Number",""
"Population","1991Q1","Male","Number",""
"Population","1991Q1","Female","Number",""
"Population","1991Q2","Both sexes","Number","3525719"
"Population","1991Q2","Male","Number","1753418"
"Population","1991Q2","Female","Number","1772301"
"Population","1991Q3","Both sexes","Number",""
"Population","1991Q3","Male","Number",""
"Population","1991Q3","Female","Number",""
"Population","1991Q4","Both sexes","Number",""
"Population","1991Q4","Male","Number",""
"Population","1991Q4","Female","Number",""
"Population","1992Q1","Both sexes","Number",""
"Population","1992Q1","Male","Number",""
"Population","1992Q1","Female","Number",""
"Population","1992Q2","Both sexes","Number","3554500"
"Population","1992Q2","Male","Number","1768400"
"Population","1992Q2","Female","Number","1786100"
"Population","1992Q3","Both sexes","Number",""
"Population","1992Q3","Male","Number",""
"Population","1992Q3","Female","Number",""
"Population","1992Q4","Both sexes","Number",""
"Population","1992Q4","Male","Number",""
"Population","1992Q4","Female","Number",""
"Population","1993Q1","Both sexes","Number",""
"Population","1993Q1","Male","Number",""
"Population","1993Q1","Female","Number",""
"Population","1993Q2","Both sexes","Number","3574100"
"Population","1993Q2","Male","Number","1778000"
"Population","1993Q2","Female","Number","1796100"
"Population","1993Q3","Both sexes","Number",""
"Population","1993Q3","Male","Number",""
"Population","1993Q3","Female","Number",""
"Population","1993Q4","Both sexes","Number",""
"Population","1993Q4","Male","Number",""
"Population","1993Q4","Female","Number",""
"Population","1994Q1","Both sexes","Number",""
"Population","1994Q1","Male","Number",""
"Population","1994Q1","Female","Number",""
"Population","1994Q2","Both sexes","Number","3585900"
"Population","1994Q2","Male","Number","1783300"
"Population","1994Q2","Female","Number","1802600"
"Population","1994Q3","Both sexes","Number",""
"Population","1994Q3","Male","Number",""
"Population","1994Q3","Female","Number",""
"Population","1994Q4","Both sexes","Number",""
"Population","1994Q4","Male","Number",""
"Population","1994Q4","Female","Number",""
"Population","1995Q1","Both sexes","Number",""
"Population","1995Q1","Male","Number",""
"Population","1995Q1","Female","Number",""
"Population","1995Q2","Both sexes","Number","3601300"
"Population","1995Q2","Male","Number","1788400"
"Population","1995Q2","Female","Number","1812900"
"Population","1995Q3","Both sexes","Number",""
"Population","1995Q3","Male","Number",""
"Population","1995Q3","Female","Number",""
"Population","1995Q4","Both sexes","Number",""
"Population","1995Q4","Male","Number",""
"Population","1995Q4","Female","Number",""
"Population","1996Q1","Both sexes","Number",""
"Population","1996Q1","Male","Number",""
"Population","1996Q1","Female","Number",""
"Population","1996Q2","Both sexes","Number","3626087"
"Population","1996Q2","Male","Number","1800232"
"Population","1996Q2","Female","Number","1825855"
"Population","1996Q3","Both sexes","Number",""
"Population","1996Q3","Male","Number",""
"Population","1996Q3","Female","Number",""
"Population","1996Q4","Both sexes","Number",""
"Population","1996Q4","Male","Number",""
"Population","1996Q4","Female","Number",""
"Population","1997Q1","Both sexes","Number",""
"Population","1997Q1","Male","Number",""
"Population","1997Q1","Female","Number",""
"Population","1997Q2","Both sexes","Number","3664300"
"Population","1997Q2","Male","Number","1819400"
"Population","1997Q2","Female","Number","1844900"
"Population","1997Q3","Both sexes","Number",""
"Population","1997Q3","Male","Number",""
"Population","1997Q3","Female","Number",""
"Population","1997Q4","Both sexes","Number",""
"Population","1997Q4","Male","Number",""
"Population","1997Q4","Female","Number",""
"Population","1998Q1","Both sexes","Number",""
"Population","1998Q1","Male","Number",""
"Population","1998Q1","Female","Number",""
"Population","1998Q2","Both sexes","Number","3703100"
"Population","1998Q2","Male","Number","1838900"
"Population","1998Q2","Female","Number","1864200"
"Population","1998Q3","Both sexes","Number",""
"Population","1998Q3","Male","Number",""
"Population","1998Q3","Female","Number",""
"Population","1998Q4","Both sexes","Number",""
"Population","1998Q4","Male","Number",""
"Population","1998Q4","Female","Number",""
"Population","1999Q1","Both sexes","Number",""
"Population","1999Q1","Male","Number",""
"Population","1999Q1","Female","Number",""
"Population","1999Q2","Both sexes","Number","3741600"
"Population","1999Q2","Male","Number","1858600"
"Population","1999Q2","Female","Number","1883000"
"Population","1999Q3","Both sexes","Number",""
"Population","1999Q3","Male","Number",""
"Population","1999Q3","Female","Number",""
"Population","1999Q4","Both sexes","Number",""
"Population","1999Q4","Male","Number",""
"Population","1999Q4","Female","Number",""
"Population","2000Q1","Both sexes","Number",""
"Population","2000Q1","Male","Number",""
"Population","2000Q1","Female","Number",""
